fractal = parity n position (accelerable interval)
Parity is Even or Odd
Even n = starts with rules ij^n
Odd n = starts with rules j^n
position: position in fractal, represented as (L[LR]*)|End

# big steps | # A(1,c) steps | # A(a,c) steps:  A(1, c); fractal, fractal
654 | 8123232 | 189167009:  A(1, 442957938); Even 17 LRR 443026682 451525992, Odd 18 LL 424706029 446176155
655 | 8124127 | 189195643:  A(1, 443026704); Even 17 LRR 443026682 451525992, Odd 18 LL 424706029 446176155
686 | 8474485 | 198468400:  A(1, 464885640); Even 17 End 464904546 774840934, Odd 18 LLR 461737621 469932627
687 | 8474733 | 198476556:  A(1, 464904564); Even 17 End 464904546 774840934, Odd 18 LLR 461737621 469932627
712 | 8772031 | 206089658:  A(1, 482730795); Even 17 End 464904546 774840934, Odd 18 L 482785493 550544859
713 | 8772805 | 206113028:  A(1, 482785532); Even 17 End 464904546 774840934, Odd 18 L 482785493 550544859
728 | 10521051 | 246832448:  A(1, 574124193); Even 17 End 464904546 774840934, Odd 18 LRL 574432915 587171547
729 | 10525043 | 246959710:  A(1, 574432943); Even 17 End 464904546 774840934, Odd 18 LRL 574432915 587171547
754 | 11087070 | 261058369:  A(1, 607288966); Even 17 End 464904546 774840934, Odd 18 LR 607375307 640429743
755 | 11088277 | 261095204:  A(1, 607375328); Even 17 End 464904546 774840934, Odd 18 LR 607375307 640429743
780 | 12148791 | 287028803:  A(1, 664437047); Even 17 End 464904546 774840934, Odd 18 LRR 664540047 677289013
781 | 12150234 | 287072745:  A(1, 664540047); Even 17 End 464904546 774840934, Odd 18 LRR 664540047 677289013
846 | 12707904 | 301463294:  A(1, 697347381); Even 17 End 464904546 774840934, Odd 18 End 697356841 1162261425
847 | 12708032 | 301467454:  A(1, 697356855); Even 17 End 464904546 774840934, Odd 18 End 697356841 1162261425
856 | 14889236 | 348862231:  A(1, 805088134); Even 18 LLL 806301564 823009766, Odd 18 End 697356841 1162261425
857 | 14905180 | 349356299:  A(1, 806301627); Even 18 LLL 806301564 823009766, Odd 18 End 697356841 1162261425
872 | 15525619 | 366988173:  A(1, 849075442); Even 18 LL 849412094 892352354, Odd 18 End 697356841 1162261425
873 | 15529849 | 367125969:  A(1, 849412126); Even 18 LL 849412094 892352354, Odd 18 End 697356841 1162261425
